Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Consuming Aberration,FDN,Foundations,238,normal,rare,1,101066,bc2b28fd-66b0-457c-80ea-7caed2cc7926,0.17,false,false,mint,en,USD
Corsair Captain,FDN,Foundations,506,normal,rare,1,101181,d5017dbc-07fd-45ea-9629-7c584144e8be,0.3,false,false,mint,en,USD
Crackling Cyclops,FDN,Foundations,83,normal,common,5,101541,6e5b899a-52f7-471b-ad50-4fa6566758fd,0.13,false,false,mint,en,USD
Crash Through,FDN,Foundations,620,normal,common,1,100903,9eb16918-6363-4849-8d74-e26822a0ddf7,0.22,false,false,mint,en,USD
Crawling Barrens,FDN,Foundations,685,normal,rare,1,100979,ac2aff0e-1319-4d3b-903c-fa1ce3db7602,0.2,false,false,mint,en,USD
Crossway Troublemakers,FDN,Foundations,518,normal,rare,1,97167,03a5e19c-4cb8-4bd7-923c-4db747dc6ca3,0.38,false,false,mint,en,USD
Crow of Dark Tidings,FDN,Foundations,519,normal,common,1,100307,2cd74e93-064a-42d7-8e6e-c413912a08cd,0.28,false,false,mint,en,USD
Crusader of Odric,FDN,Foundations,569,normal,common,1,100079,009029c2-26b9-498f-8765-e91c2e1f3aee,0.16,false,false,mint,en,USD
Crypt Feaster,FDN,Foundations,59,normal,common,2,100382,3b072811-998a-4a71-b59c-6afecc0dc4b6,0.15,false,false,mint,en,USD
Cryptic Caves,FDN,Foundations,686,normal,uncommon,1,100943,a7976098-b560-458a-ad3c-18f7873add21,0.19,false,false,mint,en,USD
Cultivator's Caravan,FDN,Foundations,670,normal,rare,1,100265,249aa94c-85ab-4606-aa2c-c902bd83ac21,0.2,false,false,mint,en,USD
Curator of Destinies,FDN,Foundations,34,normal,rare,1,100908,9ff79da7-c3f7-4541-87a0-503544c699b5,0.15,false,false,mint,en,USD
Darksteel Colossus,FDN,Foundations,671,normal,mythic,1,100660,70197723-c61b-4600-b61d-41380c8f3067,1.99,false,false,mint,en,USD
Dauntless Veteran,FDN,Foundations,8,normal,uncommon,1,100704,7a136f26-ac66-407f-b389-357222d2c4a2,0.08,false,false,mint,en,USD
Dawnwing Marshal,FDN,Foundations,570,normal,uncommon,1,100741,807db84f-addb-4ef0-b9ba-32b3e1bced3d,0.18,false,false,mint,en,USD
Day of Judgment,FDN,Foundations,140,normal,rare,2,95585,96e84bdc-8a9a-4c58-ba8b-9f052fd60069,0.75,false,false,mint,en,USD
Dazzling Angel,FDN,Foundations,9,normal,common,2,101468,027dc444-e544-4693-8653-3dcdda530162,0.15,false,false,mint,en,USD
Deadly Brew,FDN,Foundations,654,normal,uncommon,1,100474,4cd4d5a4-4342-49fb-b1e4-7d08e6cf5376,0.19,false,false,mint,en,USD
Deadly Plot,FDN,Foundations,520,normal,uncommon,1,101012,b32fddc3-a38f-4eea-ae01-4158e3cbca6c,0.47,false,false,mint,en,USD
Deadly Riposte,FDN,Foundations,492,normal,common,1,101535,65f5804a-075b-41d8-9639-785cad5c0974,0.22,false,false,mint,en,USD
Death Baron,FDN,Foundations,521,normal,rare,1,100345,34a27142-cf45-4164-9e10-373e5c8bf7c6,4.66,false,false,mint,en,USD
Deathmark,FDN,Foundations,601,normal,uncommon,1,100423,42592d75-593e-4719-b13b-bca374017e79,0.2,false,false,mint,en,USD
Demolition Field,FDN,Foundations,687,normal,uncommon,1,100150,0c7e51b6-4898-4632-b39c-3ce438caa882,0.7,false,false,mint,en,USD
Demonic Pact,FDN,Foundations,602,normal,mythic,1,100549,5b0b7242-df91-48cf-bf4e-b68306c9965f,1.68,false,false,mint,en,USD
Devout Decree,FDN,Foundations,571,normal,uncommon,1,101162,d174cb01-b1cf-444c-a893-cc61ddf88b8c,0.19,false,false,mint,en,USD
Diamond Mare,FDN,Foundations,672,normal,uncommon,1,100669,721463ad-9531-487f-bd82-5e638c4fc35f,0.21,false,false,mint,en,USD
Dictate of Kruphix,FDN,Foundations,587,normal,rare,1,101028,b5e4087b-e692-4eb2-bb59-ff2a001d6dd4,1.05,false,false,mint,en,USD
Dimir Guildgate,FDN,Foundations,688,normal,common,1,101376,f9b8a159-5e58-4432-8ecd-62f39afa96da,0.15,false,false,mint,en,USD
Diregraf Ghoul,FDN,Foundations,171,normal,uncommon,2,100439,4682012c-d7e0-4257-b538-3de497507464,0.1,false,false,mint,en,USD
Disenchant,FDN,Foundations,572,normal,common,1,100709,7ac43e16-8b14-46f2-877a-600ea918766b,0.19,false,false,mint,en,USD
Dismal Backwater,FDN,Foundations,261,normal,common,1,101220,dbb0df36-8467-4a41-8e1c-6c3584d4fd10,0.15,false,false,mint,en,USD
Dive Down,FDN,Foundations,588,normal,common,1,100608,65d5cff9-a3ec-432d-9ce5-68949e524279,0.19,false,false,mint,en,USD
Divine Resilience,FDN,Foundations,10,normal,uncommon,2,101347,f3a08245-a535-4d24-b8c0-78759bb9c4b0,0.18,false,false,mint,en,USD
Doubling Season,FDN,Foundations,216,foil,mythic,1,101340,f2c4f80e-84a0-463b-82c3-5c6503809351,35.39,false,false,mint,en,USD
Dragon Fodder,FDN,Foundations,535,normal,common,1,101626,f9abe517-f601-4784-8d62-2350bd755146,0.15,false,false,mint,en,USD
Dragon Mage,FDN,Foundations,621,normal,uncommon,1,100526,5525cfde-a92b-4fb5-8f15-a05efebecd3d,0.24,false,false,mint,en,USD
Dragon Trainer,FDN,Foundations,84,normal,uncommon,1,100830,91bd75a1-cb54-4e38-9ce1-e8f32a73c6eb,0.15,false,false,mint,en,USD
Dragonlord's Servant,FDN,Foundations,536,normal,uncommon,1,101499,37e35f88-a580-4b55-9c11-0b58e2f752d1,0.49,false,false,mint,en,USD
Dragonmaster Outcast,FDN,Foundations,622,normal,mythic,1,101039,b720f3a8-f38f-4460-86a3-dad541e7add7,1.01,false,false,mint,en,USD
Drake Hatcher,FDN,Foundations,35,normal,rare,1,101071,bcaf4196-6bf3-47fa-b5c7-0e77f45cf820,0.6,false,false,mint,en,USD
"Drakuseth, Maw of Flames",FDN,Foundations,193,normal,rare,1,100092,029b1edb-e1de-4f1c-81df-8d17f4920318,0.68,false,false,mint,en,USD
Dread Summons,FDN,Foundations,604,normal,rare,1,101238,dfb5dd33-6e5b-4d78-92fa-678c9f01c606,0.24,false,false,mint,en,USD
Dreadwing Scavenger,FDN,Foundations,118,normal,uncommon,2,101252,e24d838b-ab48-410a-9a50-dbfea5da089b,0.15,false,false,mint,en,USD
Driver of the Dead,FDN,Foundations,605,normal,common,1,100431,4443696a-0b9a-4081-91aa-800b5c4065d2,0.15,false,false,mint,en,USD
Drogskol Reaver,FDN,Foundations,655,normal,rare,1,101086,c0a4450c-8dfd-4d05-adb9-e84ec6066c7d,1.05,false,false,mint,en,USD
Dropkick Bomber,FDN,Foundations,537,normal,rare,1,101583,b44f758e-716a-408e-96d4-b58403591c2a,4.85,false,false,mint,en,USD
Druid of the Cowl,FDN,Foundations,554,normal,common,1,101606,db2d0ee9-865c-4fc9-8cb6-540c597e1bf4,0.29,false,false,mint,en,USD
Dryad Militant,FDN,Foundations,656,normal,uncommon,1,100819,8fb36712-26e9-4ec7-8946-626bb7094c15,0.15,false,false,mint,en,USD
Duress,FDN,Foundations,606,normal,common,1,100348,34c3a894-ee75-4db9-a69f-711bb3cc150a,0.25,false,false,mint,en,USD
Dwynen's Elite,FDN,Foundations,218,normal,common,3,100800,89d94c28-ea2e-4a3d-935f-6b2d9f2efc7a,0.15,false,false,mint,en,USD
"Dwynen, Gilt-Leaf Daen",FDN,Foundations,217,normal,uncommon,1,100086,01c00d7b-7fac-4f8c-a1ea-de2cf4d06627,0.2,false,false,mint,en,USD
Eaten Alive,FDN,Foundations,172,normal,common,1,100216,1c4f7b20-b2a8-498c-8c36-dc296863b0b9,0.15,false,false,mint,en,USD
Eaten by Piranhas,FDN,Foundations,507,normal,uncommon,1,100444,475e28bb-1333-45e1-b6fd-83121c2f1ab9,0.58,false,false,mint,en,USD
Elementalist Adept,FDN,Foundations,36,normal,common,1,101605,d9768cc6-8f53-4922-ae32-376a2f32d719,0.1,false,false,mint,en,USD
Elfsworn Giant,FDN,Foundations,103,normal,common,2,100497,5128a5be-ffa6-4998-8488-872d80b24cb2,0.15,false,false,mint,en,USD
Elspeth's Smite,FDN,Foundations,493,normal,uncommon,1,97186,b405a442-cf6f-4c0b-9950-f208b30c052e,1.17,false,false,mint,en,USD
Elvish Archdruid,FDN,Foundations,219,normal,rare,1,100341,341da856-7414-403b-b2e3-4bebd58a5aa4,0.31,false,false,mint,en,USD
Elvish Regrower,FDN,Foundations,104,normal,uncommon,2,100278,2694e3cd-26ed-4a10-ae55-fb84d7800253,0.15,false,false,mint,en,USD
Empyrean Eagle,FDN,Foundations,239,normal,uncommon,1,100533,577e99a7-4a55-4314-8f08-2ae0c33b85c7,0.2,false,false,mint,en,USD
Enigma Drake,FDN,Foundations,657,normal,uncommon,1,100173,13ce1338-5a46-4d96-a991-d5fa8d4330ae,0.19,false,false,mint,en,USD
